,,,
M8,General Electric - Curie House,Freisinger Landstr. 50,85748 Garching
M9,"TUM, Geb. 8104, Carl-Zeiss-Str. 8",Carl-Zeiss-Straße 8,85748 Garching
MA,"TUM, Geb. 8111, Schleißheimer Str. 90A",Schleißheimer Str. 90A,85748 Garching
MB,"TUM, Geb. 5414, Neubau Zentrum Energie und Information (ZEI)",Lichtenbergstraße 4a,85748 Garching
MC,"TUM, Exzellenzcluster MIAPP (ehem. T1-Gebäude IPP)",Boltzmannstr. 2,85748 Garching
MD,"TUM, Geb. 5622 - Duschcontainer am Sportplatz",Boltzmannstraße 5,85748 Garching
ME,"TUM, Geb. 5530 - Exzellenzzentrum (vor Maschinenwesen)",Boltzmannstraße 17,85748 Garching
MF,"TUM, Geb. 5410 - Forschungszentrum für Katalyse CRC (Katum)",Ernst-Otto-Fischer-Str. 1,85748 Garching
MG,"Neubau Mensa Garching, Geb. 5304",Boltzmannstr. 19,85748 Garching
MH,"TUM, Geb. 5620, TUM Hall Interims Audimax I",Boltzmannstraße 5,85748 Garching
MI,Metall-Innung München-Freising-Erding,Lichtenbergstr. 10,Garching
MJ,"TUM, Geb. 5519, Leichtbauhalle (bei Imetum)",Boltzmannstraße 15,85748 Garching
MK,"Kinderhaus, Geb. 5531 (hinter Maschinenwesen)",Boltzmannstraße 15 re.,85748 Garching
ML,"LMU, Laboratory for Extreme Photonics (LEX), Center for Advanced Laser Applications (CALA)",Am Coulombwall 1a,85748 Garching
MM,"TUM, Geb. 5413 BNMR (Bavarian Nuclear Magnetic Resonanz) Zentrum",Ernst-Otto-Fischer-Straße 2,85748 Garching
MN,"TUM, Geb. 5116, ZNN Zentrum für Nanotechnologie und Nanomaterialien",Am Coulombwall 4a,85748 Garching
MO,"TUM, Garching, Geb. 5416, Interims Audimax II",Lichtenbergstraße 2b,85748 Garching
MP,"TUM, Geb. 8102, Business Campus Garching II",Parkring 35-39,85748 Garching
MQ,"TUM, Geb. 5415, Center for Protein Assemblies (CPA)",Ernst-Otto-Fischer-Str.,85748 Garching
MR,"TUM, Geb. 5128, Zentrum für Quantum Engineering (ZQE)",Am Coulombwall,85748 Garching
MS,"TUM, Geb. 5515, Zentrum für Softskills",Boltzmannstr. 15,85748 Garching
MT,UnternehmerTUM Neubau + ECM  Geb. 5433,Lichtenbergstraße 6 (neben GATE),85748 Garching
MU,"TUM, Physik Untergrundlabor",James-Franck-Str. 1,85748 Garching
