LMU, Neubau Bauabschnitt 2, Biologie I, MartinsriedGroßhaderner Str. 2-482152 Planegg-Martinsried;FU1.039;apa03-kig;Online seit 2022-03-12 21:48;Alcatel-Lucent -> OAW-AP325;Gesamt:     (010 - 3 - 3 - 4.42)eduroam:    (007 - 1 - 1 - 2.38)lrz:  (002 - 1 - 1 - 1.04)@BayernWLAN: (001 - 1 - 1 - 1.00)Sonstige:  (000 - 0 - 0 - 0.00)
HMTM, Gasteig, Hochschule für Musik und TheaterRosenheimer Straße 581667 München;2.104;apa03-2xg;Online seit 2021-12-28 22:48;Alcatel-Lucent -> OAW-AP325;Gesamt:     (021 - 3 - 3 - 5.63)eduroam:    (011 - 1 - 1 - 2.58)lrz:  (002 - 1 - 1 - 1.03)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (008 - 1 - 1 - 2.01)Sonstige:  (000 - 0 - 0 - 0.00)
LMU, Block BTheresienstr. 3980333 München;B418;apa13-4db;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP325;Gesamt:     (007 - 3 - 3 - 3.58)eduroam:    (004 - 1 - 1 - 1.58)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.00)Sonstige:  (000 - 0 - 0 - 0.00)
Schülerforschungszentrum BerchtesgadenSalzburger Straße 1583471 Berchtesgaden;U.01;apa03-0x1;Online seit 2022-01-10 18:03;Aruba -> AP-303H;Gesamt:     (004 - 4 - 3 - 3.06)eduroam:    (001 - 1 - 1 - 1.00)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 2 - 1 - 1.06)
TUM, Geb. 4318, Hans Eisenmann-Zentrum (Zentralinstitut für Agrarwissenschaften)Liesel-Beckmann-Straße 285354 Freising;EG-8, Seminarraum 88 (WZWS88)[CI:118443]?;apa13-0jo;Online seit 2022-01-18 08:18;Aruba -> AP-515;Gesamt:     (020 - 3 - 3 - 4.07)eduroam:    (015 - 1 - 1 - 1.78)lrz:  (002 - 1 - 1 - 1.06)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 1 - 1 - 1.23)
LMU, Jura, Veterinärstr. 1Veterinärstr. 180539 München;104;apa03-1su;Online seit 2022-01-19 15:33;Aruba -> AP-515;Gesamt:     (011 - 3 - 3 - 3.80)eduroam:    (006 - 1 - 1 - 1.59)lrz:  (002 - 1 - 1 - 1.05)@BayernWLAN: (003 - 1 - 1 - 1.15)
LMU, Geb. 0122, RechtsinformatikLudwigstr. 2980539 München;212;apa03-2gq;Online seit 2022-01-18 08:18;Alcatel-Lucent -> OAW-AP325;Gesamt:     (020 - 3 - 3 - 4.98)eduroam:    (011 - 1 - 1 - 2.56)lrz:  (004 - 1 - 1 - 1.11)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (005 - 1 - 1 - 1.31)Sonstige:  (000 - 0 - 0 - 0.00)
LMU, SternwarteScheinerstraße 181679 München;Z107 (Seminarraum);apa04-1zj;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP325;Gesamt:     (010 - 3 - 3 - 5.18)eduroam:    (005 - 1 - 1 - 2.09)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (004 - 1 - 1 - 2.09)Sonstige:  (000 - 0 - 0 - 0.00)
TUM, Geb. 5219, VerwaltungsstelleWalther-Meißner-Str. 285748 Garching;0952, Wohnzimmer;apa04-0ao;Online seit 2022-02-03 15:38;Aruba -> AP-303H;Gesamt:     (004 - 2 - 2 - 3.36)eduroam:    (003 - 1 - 1 - 2.36)lrz:  (000 - 0 - 0 - 0.00)@BayernWLAN: (001 - 1 - 1 - 1.00)
LMU, Geb. 0610Leopoldstr. 1580802 München;Raum 385, Flur West;apa02-3ls;Online seit 2021-12-28 21:18;Alcatel-Lucent -> OAW-AP325;Gesamt:     (009 - 5 - 3 - 4.49)eduroam:    (001 - 1 - 1 - 1.00)lrz:  (002 - 1 - 1 - 1.02)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (006 - 3 - 1 - 2.47)Sonstige:  (000 - 0 - 0 - 0.00)
