Unterbezirkskürzel,Link,Name,Strasse,Ort
WD,/apstat/filter/Unterbezirk/wd,Studentenhaus DOMINO,Untere Straßäcker 21,85748 Garching
WE,/apstat/filter/Unterbezirk/we,"Geb. 7901, Speicherbibliothek der Bayerischen Staatsbibliothek",Römerhofweg 66,85748 Garching
WF,/apstat/filter/Unterbezirk/wf,Schotterparkplatz Garching,Ludwig-Prandtl-Straße,85748 Garching
WG,/apstat/filter/Unterbezirk/wg,"GATE, Gründerzentrum",Lichtenbergstr. 8,85748 Garching
WH,/apstat/filter/Unterbezirk/wh,Hochschulhaus Garching,Enzianstraße 5+7,85748 Garching
WI,/apstat/filter/Unterbezirk/wi,"TUM, Geb. 5600-5613, Informatik / Mathematik",Boltzmannstr. 3,85748 Garching
WJ,/apstat/filter/Unterbezirk/wj,GALILEO,Boltzmannstraße 30 / Walther-von-Dyck-Straße 2 - 16,85748 Garching
WK,/apstat/filter/Unterbezirk/wk,"TUM, Exzellenz-Cluster Universe (ehem. ITER-Gebäude)",Boltzmannstr. 2,85748 Garching
WL,/apstat/filter/Unterbezirk/wl,"LRZ, Institutstrakt",Boltzmannstraße 1,85748 Garching
WM,/apstat/filter/Unterbezirk/wm,"TUM, Tentomax Garching MW (Vorlesungszelt)",Boltzmannstr. 15,85748 Garching
WN,/apstat/filter/Unterbezirk/wn,"TUM, Geb. 5131, FRM-Poststelle",Boltzmannstr. 10b,85748 Garching
WO,/apstat/filter/Unterbezirk/wo,"TUM, Geb. 8101, Business Campus Garching I",Parkring 11 - 13,85748 Garching
WP,/apstat/filter/Unterbezirk/wp,"FHG, AISEC, Fraunhofer-Institut für Angewandte und Integrierte Sicherheit",Lichtenbergstraße 11,85748 Garching b. München
WQ,/apstat/filter/Unterbezirk/wq,"TUM, Geb. 5301, IAS-Gebäude",Lichtenbergstr. 2a,85748 Garching
WR,/apstat/filter/Unterbezirk/wr,"LRZ, Rechnerwürfel",Boltzmannstraße 1,85748 Garching
WS,/apstat/filter/Unterbezirk/ws,"TUM, Geb. 5517, Halle 17, Maschinenwesen",Boltzmannstraße 15,85748 Garching
WT,/apstat/filter/Unterbezirk/wt,"TUM, Geb. 5216, RCM-Dokumenten-Archiv",Walther-Meißner-Straße 3,85748 Garching
WU,/apstat/filter/Unterbezirk/wu,Garching U-Bahnhof Forschungsgelände,Boltzmannstraße 4,85748 Garching
WV,/apstat/filter/Unterbezirk/wv,"Campus Garching, GE Global Research, Newton-House",Freisinger Landstr. 50,85748 Garching
WW,/apstat/filter/Unterbezirk/ww,"TUM, Geb. xxx, Center for Organoid Systems & Tissue Engineering (COS)",Bolzmannstraße 12,85748 Garching
WX,/apstat/filter/Unterbezirk/wx,"TUM, Geb. 7910 - Oskar-von-Miller-Turm (Wetterturm)",Ludwig-Prandtl-Straße 1,85748 Garching
WY,/apstat/filter/Unterbezirk/wy,"TUM, Geb. 5160, UCN-Testanlage (Tritron Hütte)",Am Coulombwall 6,85748 Garching
WZ,/apstat/filter/Unterbezirk/wz,"LRZ, Hörsaaltrakt",Boltzmannstraße 1,85748 Garching
X,/apstat/filter/Unterbezirk/x,Kleinere Unterbezirke 1,,
X0,/apstat/filter/Unterbezirk/x0,Studentenwohnheim Rosenheim 1 und 2,"Marienberger Straße 36-40, Westerndorfer Str. 47a-m",83024 Rosenheim
X1,/apstat/filter/Unterbezirk/x1,Schülerforschungszentrum Berchtesgaden,Salzburger Straße 15,83471 Berchtesgaden
X2,/apstat/filter/Unterbezirk/x2,"SWH, Studentenwohnheim Frauendorfer-Haus",Notburgastr. 19-23,80639 München
X3,/apstat/filter/Unterbezirk/x3,"SMSB, Bayerisches Armeemuseum",Paradeplatz 4,Ingolstadt
X4,/apstat/filter/Unterbezirk/x4,"SMSB, Neues Museum, Staatliches Museum für Kunst und Design Nürnberg",Luitpoldstraße 5,90402 Nürnberg
X5,/apstat/filter/Unterbezirk/x5,"SMSB, Deutsches Theatermuseum",Galeriestr. 4a (Hofgartenarkaden),München
X6,/apstat/filter/Unterbezirk/x6,"TUM, Geb. 3901-3902 & 3904 ,Wassersportzentrum",Unterer Seeweg 5,82319 Starnberg
X7,/apstat/filter/Unterbezirk/x7,"SNSB, Dornach, Staatssammlung f. Anthropologie u. Paläoanatomie, Archiv",Margaretha-Ley-Ring 1,85609 Dornach
X8,/apstat/filter/Unterbezirk/x8,"SMSB, Museum ""Fünf Kontinente""",Maximilianstr. 42,80538 München
X9,/apstat/filter/Unterbezirk/x9,"TUM, Geb. 3100, Feldstation Mülverstedt - Projektbüro Hainich",Am Burghof 3,99947 Mülverstedt
XA,/apstat/filter/Unterbezirk/xa,"TUM, Geb. 2903, TU-Verwaltung - Haus Soller",Augustenstraße 44 und 46,80333 München
XB,/apstat/filter/Unterbezirk/xb,Erzbischöfliches Ordinariat München,Kapellenstraße 4,80333 München
XC,/apstat/filter/Unterbezirk/xc,"TUM, Geb. 9001, Science & Study Centre, Kloster Raitenhaslach",Raitenhaslach 11,84489 Burghausen
XD,/apstat/filter/Unterbezirk/xd,"Fortiss-Institut, UCC",Guerickestr. 25,80805 München
XE,/apstat/filter/Unterbezirk/xe,"LMU, Universitätsarchiv + Physik",Edmund-Rumpler-Str. 9,80939 München
XF,/apstat/filter/Unterbezirk/xf,Landesfachstelle für das öffentliche Bibliothekswesen,Praterstraße 16,90429 Nürnberg
XG,/apstat/filter/Unterbezirk/xg,"HMTM, Gasteig, Hochschule für Musik und Theater",Rosenheimer Straße 5,81667 München
XH,/apstat/filter/Unterbezirk/xh,TUM Forschungsstation Berchtesgaden,"Forstweg zur Roßfeldstraße, 47°38'40.9""N 13°05'21.0""E",83471 Berchtesgaden
XI,/apstat/filter/Unterbezirk/xi,Teleworker Haimhausen,Ringstraße 9a,85778 Haimhausen
XJ,/apstat/filter/Unterbezirk/xj,"SWH, Wohnheim Josef-Wirth-Weg 19",Josef-Wirth-Weg 19,80939 München
XK,/apstat/filter/Unterbezirk/xk,MPG Halbleiterlabor,"Otto-Hahn-Ring 6, Geb. 72",81739 München
